country	points	price	normalizedPrice
Cyprus	87.18181818181819	16.272727272727273	0.09278702518139138
Egypt	84.0	0.0	0.0
England	91.58108108108108	51.68115942028985	0.5582499829897256
Portugal	88.25021964505359	26.21825641025641	0.2235263753460936
Greece	87.28326180257511	22.364425162689805	0.17286568288981902
Armenia	87.5	14.5	0.06948356807511737
Austria	90.10134529147982	30.76277241872097	0.2832664918892897
Morocco	88.57142857142857	19.5	0.1352112676056338
Luxembourg	88.66666666666667	23.333333333333332	0.18560250391236302
China	89.0	18.0	0.11549295774647886
Brazil	84.67307692307692	23.76595744680851	0.19128958146039354
Slovenia	88.06896551724138	24.8125	0.20504694835680748
Slovakia	87.0	16.0	0.0892018779342723
France	88.84510931064138	41.139120162016205	0.419669185228382
Chile	86.4935152057245	20.786458333333332	0.15212245696400623
Serbia	87.5	24.5	0.20093896713615023
Bulgaria	87.93617021276596	14.645390070921986	0.07139479905437351
Bosnia	and	Herzegovina	86.5	12.5	0.0431924882629108
US	88.56372009393806	36.5734635584631	0.3596511641488106
Croatia	87.21917808219177	25.450704225352112	0.2134364874694174
Argentina	86.71026315789474	24.510117145899894	0.20107196248131315
Romania	86.4	15.241666666666667	0.07923317683881065
Hungary	89.1917808219178	40.648275862068964	0.4132167718957422
Uruguay	86.75229357798165	26.40366972477064	0.22596373347116336
Ukraine	84.07142857142857	9.214285714285714	0.0
Moldova	87.20338983050847	16.74576271186441	0.09900533142356968
Switzerland	88.57142857142857	85.28571428571429	1.0
Spain	87.28833709556058	28.215274608245853	0.24977825776097834
India	90.22222222222223	13.333333333333334	0.05414710485133021
New	Zealand	88.3030303030303	26.93178519593614	0.23290609647239996
Lebanon	87.68571428571428	30.685714285714287	0.28225352112676055
Canada	89.36964980544747	35.71259842519685	0.34833462718568625
Czech	Republic	87.25	24.25	0.1976525821596244
Turkey	88.08888888888889	24.633333333333333	0.2026917057902973
Italy	88.56223132036847	39.663769658271256	0.40027490630591317
South	Africa	88.05638829407566	24.668986852281517	0.20316039054642368
Mexico	85.25714285714285	26.785714285714285	0.2309859154929577
Macedonia	86.83333333333333	15.583333333333334	0.0837245696400626
Israel	88.47128712871287	31.768916155419223	0.2964927945313325
Georgia	87.68604651162791	19.321428571428573	0.13286384976525822
Australia	88.58050665521684	35.43766346992153	0.3447204587595318
Peru	83.5625	18.0625	0.11631455399061032
Germany	89.85173210161663	42.25754716981132	0.4343715120914163
